SITE,CITY,STATE,,
,,,,
ABC,ANCHORAGE,AK/Bethel,,AK-Bethel-KABC
AKC,ANCHORAGE,AK/King Salmon,,AK-King Salmon-KAKC
AIH,ANCHORAGE,AK/Middleton Island,,AK-Middleton Island-KAIH
AHG,ANCHORAGE,AK/Nikiski,,AK-Nikiski-KAHG
AEC,FAIRBANKS,AK/Nome,,AK-Nome-KAEC
APD,FAIRBANKS,AK/Pedro Dome,,AK-Pedro Dome-KAPD
ACG,JUNEAU,AK/Sitka,,AK-Sitka-KACG
MXX,BIRMINGHAM,AL/(Maxwell AFB RDA),,AL-(Maxwell AFB RDA)-KMXX
BMX,BIRMINGHAM,AL/Alabaster,,AL-Alabaster-KBMX
EOX,BIRMINGHAM,AL/Fort Rucker,,AL-Fort Rucker-KEOX
MOB,MOBILE,AL/Mobile,,AL-Mobile-KMOB
HTX,BIRMINGHAM,AL/Northeastern Alabama,,AL-Northeastern Alabama-KHTX
LZK,LITTLE ROCK,AR/North Little Rock,,AR-North Little Rock-KLZK
FSX,FLAGSTAFF,AZ/Coconino,,AZ-Coconino-KFSX
IWA,PHOENIX,AZ/Mesa,,AZ-Mesa-KIWA
EMX,TUCSON,AZ/Pima County,,AZ-Pima County-KEMX
YUX,PHOENIX,AZ/Yuma,,AZ-Yuma-KYUX
BBX,SACRAMENTO,CA/(Beale AFB),,CA-(Beale AFB)-KBBX
VBX,LOS ANGELES,CA/(Vandenberg AFB),,CA-(Vandenberg AFB)-KVBX
HNX,SAN JOAQUIN VALLEY,CA/Hanford,,CA-Hanford-KHNX
BHX,EUREKA,CA/Humboldt County,,CA-Humboldt County-KBHX
SOX,SAN DIEGO,CA/Orange County,,CA-Orange County-KSOX
DAX,SACRAMENTO,CA/Sacramento,,CA-Sacramento-KDAX
NKX,SAN DIEGO,CA/San Diego,,CA-San Diego-KNKX
MUX,SAN FRANCISCO,CA/Santa Clara County,,CA-Santa Clara County-KMUX
VTX,LOS ANGELES,CA/Ventura County,,CA-Ventura County-KVTX
FTG,DENVER/BOULDER,CO/Denver,,CO-Denver-KFTG
GJX,GRAND JUNCTION,CO/Mesa,,CO-Mesa-KGJX
